QUANTUM_STATE_INDEX,PARTITION_MASKS,ROUTES,LOADS,TOTAL_DISTANCE_KM,TOTAL_DURATION_MIN,IS_OPTIMAL,GAP_TO_BEST_PCT
0,65|38|24,DC00 -> IP01 -> IP07 -> DC00 || DC00 -> IP03 -> IP06 -> IP02 -> DC00 || DC00 -> IP05 -> IP04 -> DC00,58|71|55,470.37210000000005,539.6316666666667,False,15.662047123276906
1,65|18|44,DC00 -> IP01 -> IP07 -> DC00 || DC00 -> IP05 -> IP02 -> DC00 || DC00 -> IP04 -> IP06 -> IP03 -> DC00,58|55|71,470.37210000000005,539.5916666666667,False,15.662047123276906
2,65|10|52,DC00 -> IP01 -> IP07 -> DC00 || DC00 -> IP04 -> IP02 -> DC00 || DC00 -> IP03 -> IP06 -> IP05 -> DC00,58|54|72,428.5735,491.48333333333335,False,5.383989298658897
3,33|70|24,DC00 -> IP01 -> IP06 -> DC00 || DC00 -> IP03 -> IP07 -> IP02 -> DC00 || DC00 -> IP05 -> IP04 -> DC00,58|71|55,500.7074,566.905,False,23.121339241365405
4,33|18|76,DC00 -> IP01 -> IP06 -> DC00 || DC00 -> IP05 -> IP02 -> DC00 || DC00 -> IP03 -> IP04 -> IP07 -> DC00,58|55|71,478.81190000000004,535.64,False,17.737349942706526
5,33|10|84,DC00 -> IP01 -> IP06 -> DC00 || DC00 -> IP04 -> IP02 -> DC00 || DC00 -> IP03 -> IP05 -> IP07 -> DC00,58|54|72,455.0867,516.9783333333334,False,11.903446953117703
6,17|98|12,DC00 -> IP05 -> IP01 -> DC00 || DC00 -> IP07 -> IP06 -> IP02 -> DC00 || DC00 -> IP04 -> IP03 -> DC00,64|71|49,491.7708,567.3216666666667,False,20.92387589198334
7,17|70|40,DC00 -> IP05 -> IP01 -> DC00 || DC00 -> IP03 -> IP07 -> IP02 -> DC00 || DC00 -> IP04 -> IP06 -> DC00,64|71|49,500.7075,566.8349999999999,False,23.121363830844057
8,17|66|44,DC00 -> IP05 -> IP01 -> DC00 || DC00 -> IP07 -> IP02 -> DC00 || DC00 -> IP04 -> IP06 -> IP03 -> DC00,64|49|71,432.9883,498.65999999999997,False,6.469565602270097
9,17|38|72,DC00 -> IP05 -> IP01 -> DC00 || DC00 -> IP03 -> IP06 -> IP02 -> DC00 || DC00 -> IP04 -> IP07 -> DC00,64|71|49,420.02230000000003,477.13,False,3.2812938000088603
10,17|34|76,DC00 -> IP05 -> IP01 -> DC00 || DC00 -> IP02 -> IP06 -> DC00 || DC00 -> IP03 -> IP04 -> IP07 -> DC00,64|49|71,478.812,535.6366666666667,False,17.73737453218517
11,17|10|100,DC00 -> IP05 -> IP01 -> DC00 || DC00 -> IP04 -> IP02 -> DC00 || DC00 -> IP03 -> IP06 -> IP07 -> DC00,64|54|66,441.9178,508.395,False,8.665283098667743
