TERM_TYPE,QUBIT_I,QUBIT_J,VARIABLE_I,VARIABLE_J,COEFFICIENT
CONSTANT,,,1,,1375.3005
LINEAR,0.0,,x_IP03_0,,-390.7419
LINEAR,1.0,,x_IP03_1,,-458.4335
LINEAR,2.0,,x_IP03_2,,-390.7419
LINEAR,3.0,,x_IP06_0,,-366.7468
LINEAR,4.0,,x_IP06_1,,-458.4335
LINEAR,5.0,,x_IP06_2,,-366.7468
LINEAR,6.0,,x_IP05_0,,-392.1799
LINEAR,7.0,,x_IP05_1,,-458.4335
LINEAR,8.0,,x_IP05_2,,-392.1799
QUADRATIC,0.0,1.0,x_IP03_0,x_IP03_1,458.4335
QUADRATIC,0.0,2.0,x_IP03_0,x_IP03_2,458.4335
QUADRATIC,0.0,3.0,x_IP03_0,x_IP06_0,458.4335
QUADRATIC,0.0,4.0,x_IP03_0,x_IP06_1,21.4358
QUADRATIC,0.0,6.0,x_IP03_0,x_IP05_0,458.4335
QUADRATIC,0.0,7.0,x_IP03_0,x_IP05_1,9.1717
QUADRATIC,1.0,2.0,x_IP03_1,x_IP03_2,458.4335
QUADRATIC,1.0,3.0,x_IP03_1,x_IP06_0,21.4358
QUADRATIC,1.0,4.0,x_IP03_1,x_IP06_1,458.4335
QUADRATIC,1.0,5.0,x_IP03_1,x_IP06_2,21.4358
QUADRATIC,1.0,6.0,x_IP03_1,x_IP05_0,9.1717
QUADRATIC,1.0,7.0,x_IP03_1,x_IP05_1,458.4335
QUADRATIC,1.0,8.0,x_IP03_1,x_IP05_2,9.1717
QUADRATIC,2.0,4.0,x_IP03_2,x_IP06_1,21.4358
QUADRATIC,2.0,5.0,x_IP03_2,x_IP06_2,458.4335
QUADRATIC,2.0,7.0,x_IP03_2,x_IP05_1,9.1717
QUADRATIC,2.0,8.0,x_IP03_2,x_IP05_2,458.4335
QUADRATIC,3.0,4.0,x_IP06_0,x_IP06_1,458.4335
QUADRATIC,3.0,5.0,x_IP06_0,x_IP06_2,458.4335
QUADRATIC,3.0,6.0,x_IP06_0,x_IP05_0,458.4335
QUADRATIC,3.0,7.0,x_IP06_0,x_IP05_1,20.9038
QUADRATIC,4.0,5.0,x_IP06_1,x_IP06_2,458.4335
QUADRATIC,4.0,6.0,x_IP06_1,x_IP05_0,20.9038
QUADRATIC,4.0,7.0,x_IP06_1,x_IP05_1,458.4335
QUADRATIC,4.0,8.0,x_IP06_1,x_IP05_2,20.9038
QUADRATIC,5.0,7.0,x_IP06_2,x_IP05_1,20.9038
QUADRATIC,5.0,8.0,x_IP06_2,x_IP05_2,458.4335
QUADRATIC,6.0,7.0,x_IP05_0,x_IP05_1,458.4335
QUADRATIC,6.0,8.0,x_IP05_0,x_IP05_2,458.4335
QUADRATIC,7.0,8.0,x_IP05_1,x_IP05_2,458.4335
