DEPTH_P,RESTART,SEED,SUCCESS,NFEV,NORMALIZED_EXPECTATION,RUNTIME_S
1,0,20261723,False,180,0.09372116908629907,0.3602160000009462
1,1,20261724,False,180,0.09818324617890112,0.23544449999462813
1,2,20261725,False,180,0.09405517114773296,0.3592619000119157
1,3,20261726,False,180,0.09380421274420384,0.3656153999909293
1,4,20261727,False,180,0.09654355144749419,0.28477930001099594
1,5,20261728,False,180,0.09757265574195187,0.25668920000316575
2,0,20262723,False,180,0.08335389051060507,0.27768729999661446
2,1,20262724,False,180,0.08696590795104232,0.320777699991595
2,2,20262725,False,180,0.09356513722721606,0.2773676000069827
2,3,20262726,False,180,0.09045236626010102,0.2674770999874454
2,4,20262727,False,180,0.09541705352919748,0.31421599999885075
2,5,20262728,False,180,0.0860231651776097,0.2643280999909621
3,0,20263723,False,180,0.0915100992818518,0.28321509997476824
3,1,20263724,False,180,0.09085715437797812,0.283390500000678
3,2,20263725,False,180,0.08209984947698748,0.2856030999973882
3,3,20263726,False,180,0.08713894159327953,0.30490680001094006
3,4,20263727,False,180,0.10796707992243584,0.3263872000097763
3,5,20263728,False,180,0.09038858293572116,0.29801790000055917
