STATE_INDEX,BITSTRING_Q0_TO_Q8,COUNT,EMPIRICAL_PROBABILITY,THEORETICAL_PROBABILITY,IS_FEASIBLE,IS_OPTIMAL,ORDER_NODE_IDS,ROAD_DISTANCE_KM,CONSTRAINT_VIOLATION,QUBO_ENERGY
161,100001010,108,0.0263671875,0.02464399236940482,True,False,IP03 -> IP05 -> IP06,189.4538,0.0,189.4538
266,010100001,104,0.025390625,0.024663876799375047,True,False,IP06 -> IP03 -> IP05,188.5478,0.0,188.5478
98,010001100,100,0.0244140625,0.024663876799375047,True,False,IP05 -> IP03 -> IP06,188.5478,0.0,188.5478
140,001100010,96,0.0234375,0.02464399236940481,True,False,IP06 -> IP05 -> IP03,189.4538,0.0,189.4538
273,100010001,94,0.02294921875,0.02487543519077783,True,True,IP03 -> IP06 -> IP05,176.28480000000002,0.0,176.2848
84,001010100,87,0.021240234375,0.024875435190777836,True,True,IP05 -> IP06 -> IP03,176.28480000000002,0.0,176.2848
129,100000010,87,0.021240234375,0.016233067597772936,False,False,INFACTIBLE,,2.0,535.2968
80,000010100,76,0.0185546875,0.015369706497635256,False,False,INFACTIBLE,,2.0,545.5909
10,010100000,69,0.016845703125,0.014783069106613105,False,False,INFACTIBLE,,2.0,571.556
258,010000001,69,0.016845703125,0.016263812966033322,False,False,INFACTIBLE,,2.0,533.8588
132,001000010,65,0.015869140625,0.016233067597772936,False,False,INFACTIBLE,,2.0,535.2968
20,001010000,64,0.015625,0.01529375661685457,False,False,INFACTIBLE,,2.0,547.5609
272,000010001,64,0.015625,0.015369706497635253,False,False,INFACTIBLE,,2.0,545.5909
68,001000100,63,0.015380859375,0.013851871194656251,False,False,INFACTIBLE,,2.0,592.3787
17,100010000,61,0.014892578125,0.015293756616854573,False,False,INFACTIBLE,,2.0,547.5609
66,010000100,60,0.0146484375,0.016263812966033322,False,False,INFACTIBLE,,2.0,533.8588
136,000100010,59,0.014404296875,0.014828454876775539,False,False,INFACTIBLE,,2.0,571.024
12,001100000,58,0.01416015625,0.012996111420889408,False,False,INFACTIBLE,,2.0,617.8118
34,010001000,58,0.01416015625,0.014783069106613105,False,False,INFACTIBLE,,2.0,571.556
2,010000000,56,0.013671875,0.01069861591833927,False,False,INFACTIBLE,,4.0,916.867
160,000001010,51,0.012451171875,0.014828454876775525,False,False,INFACTIBLE,,2.0,571.024
257,100000001,51,0.012451171875,0.013851871194656251,False,False,INFACTIBLE,,2.0,592.3787
264,000100001,50,0.01220703125,0.013041933626821002,False,False,INFACTIBLE,,2.0,616.3738
64,000000100,49,0.011962890625,0.00894752928769684,False,False,INFACTIBLE,,4.0,983.1206
16,000010000,45,0.010986328125,0.010374906780246395,False,False,INFACTIBLE,,4.0,916.867
32,000001000,45,0.010986328125,0.008441515955414397,False,False,INFACTIBLE,,4.0,1008.5536999999999
33,100001000,45,0.010986328125,0.012996111420889401,False,False,INFACTIBLE,,2.0,617.8118
128,000000010,43,0.010498046875,0.010719679538622401,False,False,INFACTIBLE,,4.0,916.867
145,100010010,43,0.010498046875,0.008146977432739386,False,False,INFACTIBLE,,2.0,556.7326
96,000001100,42,0.01025390625,0.013041933626821002,False,False,INFACTIBLE,,2.0,616.3738
8,000100000,40,0.009765625,0.008441515955414397,False,False,INFACTIBLE,,4.0,1008.5536999999999
138,010100010,40,0.009765625,0.0076931245828895075,False,False,INFACTIBLE,,2.0,592.4598
259,110000001,39,0.009521484375,0.007448008502367852,False,False,INFACTIBLE,,2.0,601.5504
1,100000000,38,0.00927734375,0.0089183499113949,False,False,INFACTIBLE,,4.0,984.5586
322,010000101,37,0.009033203125,0.007081421167961566,False,False,INFACTIBLE,,2.0,609.2841
76,001100100,36,0.0087890625,0.005963726818800047,False,False,INFACTIBLE,,2.0,684.0654
274,010010001,35,0.008544921875,0.008170843021088243,False,False,INFACTIBLE,,2.0,554.7626
256,000000001,34,0.00830078125,0.008947529287696833,False,False,INFACTIBLE,,4.0,983.1206
4,001000000,33,0.008056640625,0.0089183499113949,False,False,INFACTIBLE,,4.0,984.5586
81,100010100,33,0.008056640625,0.006530874436680578,False,False,INFACTIBLE,,2.0,634.7183
385,100000011,33,0.008056640625,0.007458364303253523,False,False,INFACTIBLE,,2.0,601.5504
162,010001010,32,0.0078125,0.0076931245828895075,False,False,INFACTIBLE,,2.0,592.4598
14,011100000,31,0.007568359375,0.0067285596340105405,False,False,INFACTIBLE,,2.0,639.2476
0,000000000,30,0.00732421875,0.006582428031203851,False,False,INFACTIBLE,,6.0,1375.3004999999998
82,010010100,30,0.00732421875,0.008170843021088246,False,False,INFACTIBLE,,2.0,554.7626
148,001010010,30,0.00732421875,0.008146977432739386,False,False,INFACTIBLE,,2.0,556.7326
100,001001100,29,0.007080078125,0.0059609039806408646,False,False,INFACTIBLE,,2.0,684.0654
112,000011100,29,0.007080078125,0.006621415857269333,False,False,INFACTIBLE,,2.0,637.2776
196,001000110,28,0.0068359375,0.007458364303253523,False,False,INFACTIBLE,,2.0,601.5504
276,001010001,28,0.0068359375,0.006530874436680585,False,False,INFACTIBLE,,2.0,634.7183
289,100001001,27,0.006591796875,0.005963726818800047,False,False,INFACTIBLE,,2.0,684.0654
21,101010000,26,0.00634765625,0.00639427444849399,False,False,INFACTIBLE,,2.0,636.6883
49,100011000,26,0.00634765625,0.006587143131525316,False,False,INFACTIBLE,,2.0,639.2476
70,011000100,26,0.00634765625,0.007448008502367852,False,False,INFACTIBLE,,2.0,601.5504
133,101000010,26,0.00634765625,0.007043209779401318,False,False,INFACTIBLE,,2.0,612.1600999999999
164,001001010,26,0.00634765625,0.006419326953758035,False,False,INFACTIBLE,,2.0,647.8873
168,000101010,26,0.00634765625,0.0058731495770699355,False,False,INFACTIBLE,,2.0,683.6144999999999
18,010010000,24,0.005859375,0.005197522393085319,False,False,INFACTIBLE,,4.0,916.867
35,110001000,24,0.005859375,0.006728559634010546,False,False,INFACTIBLE,,2.0,639.2476
130,010000010,24,0.005859375,0.005515254357751922,False,False,INFACTIBLE,,4.0,916.867
137,100100010,24,0.005859375,0.0064193269537580365,False,False,INFACTIBLE,,2.0,647.8873
280,000110001,24,0.005859375,0.006621415857269333,False,False,INFACTIBLE,,2.0,637.2776
74,010100100,23,0.005615234375,0.006427352143252731,False,False,INFACTIBLE,,2.0,646.9812999999999
97,100001100,23,0.005615234375,0.006014850602163633,False,False,INFACTIBLE,,2.0,684.0654
28,001110000,22,0.00537109375,0.006587143131525312,False,False,INFACTIBLE,,2.0,639.2476
42,010101000,22,0.00537109375,0.005846499496771888,False,False,INFACTIBLE,,2.0,684.6785
265,100100001,22,0.00537109375,0.00596090398064086,False,False,INFACTIBLE,,2.0,684.0654
291,110001001,21,0.005126953125,0.003313493480867,False,False,INFACTIBLE,,2.0,714.6729
9,100100000,20,0.0048828125,0.003499555509606965,False,False,INFACTIBLE,,4.0,1076.2453
144,000010010,20,0.0048828125,0.00521472611266877,False,False,INFACTIBLE,,4.0,916.867
224,000001110,20,0.0048828125,0.00677300971217129,False,False,INFACTIBLE,,2.0,637.2776
392,000100011,20,0.0048828125,0.006773009712171297,False,False,INFACTIBLE,,2.0,637.2776
3,110000000,19,0.004638671875,0.004460643959756907,False,False,INFACTIBLE,,4.0,984.5586
5,101000000,18,0.00439453125,0.0036781489989455456,False,False,INFACTIBLE,,4.0,1052.2502
48,000011000,18,0.00439453125,0.004125761493338817,False,False,INFACTIBLE,,4.0,1008.5536999999999
192,000000110,18,0.00439453125,0.004482622322374383,False,False,INFACTIBLE,,4.0,983.1206
290,010001001,18,0.00439453125,0.006427352143252731,False,False,INFACTIBLE,,2.0,646.9812999999999
6,011000000,17,0.004150390625,0.004460643959756907,False,False,INFACTIBLE,,4.0,984.5586
72,000100100,17,0.004150390625,0.003513013222404387,False,False,INFACTIBLE,,4.0,1074.8073
149,101010010,17,0.004150390625,0.0036573806615553626,False,False,INFACTIBLE,,2.0,655.0317
401,100010011,17,0.004150390625,0.002435122604474084,False,False,INFACTIBLE,,2.0,643.89
40,000101000,16,0.00390625,0.0034053039745631447,False,False,INFACTIBLE,,4.0,1100.2404
268,001100001,16,0.00390625,0.0060148506021636345,False,False,INFACTIBLE,,2.0,684.0654
228,001001110,15,0.003662109375,0.0033210846500543977,False,False,INFACTIBLE,,2.0,714.1409
65,100000100,14,0.00341796875,0.0037540018885835855,False,False,INFACTIBLE,,4.0,1050.8121999999998
320,000000101,14,0.00341796875,0.0036967214172196495,False,False,INFACTIBLE,,4.0,1049.3742
336,000010101,14,0.00341796875,0.006458362190224062,False,False,INFACTIBLE,,2.0,632.7483
24,000110000,13,0.003173828125,0.0041257614933388155,False,False,INFACTIBLE,,4.0,1008.5536999999999
78,011100100,13,0.003173828125,0.003313493480866995,False,False,INFACTIBLE,,2.0,714.6729
284,001110001,13,0.003173828125,0.0031646365541200152,False,False,INFACTIBLE,,2.0,726.405
113,100011100,12,0.0029296875,0.003164636554120013,False,False,INFACTIBLE,,2.0,726.405
116,001011100,12,0.0029296875,0.0017089257249067685,False,False,INFACTIBLE,,2.0,726.405
163,110001010,12,0.0029296875,0.0023534689712640436,False,False,INFACTIBLE,,2.0,669.3231
170,010101010,12,0.0029296875,0.0030537071007041153,False,False,INFACTIBLE,,2.0,726.4861
36,001001000,11,0.002685546875,0.003499555509606961,False,False,INFACTIBLE,,4.0,1076.2453
114,010011100,11,0.002685546875,0.0022091076670891015,False,False,INFACTIBLE,,2.0,667.8851
