SCENARIO,SIMULATION_ID,NODE_ID,NOMBRE,CATEGORIA,BASE_DEMAND,EXTRA_DEMAND,TOTAL_DEMAND
NORMAL,1,IP01,COLCABAMBA,I-4,24,1,25
NORMAL,2,IP01,COLCABAMBA,I-4,24,3,27
NORMAL,3,IP01,COLCABAMBA,I-4,24,4,28
NORMAL,4,IP01,COLCABAMBA,I-4,24,1,25
NORMAL,5,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,6,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,7,IP01,COLCABAMBA,I-4,24,3,27
NORMAL,8,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,9,IP01,COLCABAMBA,I-4,24,4,28
NORMAL,10,IP01,COLCABAMBA,I-4,24,1,25
NORMAL,11,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,12,IP01,COLCABAMBA,I-4,24,3,27
NORMAL,13,IP01,COLCABAMBA,I-4,24,0,24
NORMAL,14,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,15,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,16,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,17,IP01,COLCABAMBA,I-4,24,0,24
NORMAL,18,IP01,COLCABAMBA,I-4,24,5,29
NORMAL,19,IP01,COLCABAMBA,I-4,24,5,29
NORMAL,20,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,21,IP01,COLCABAMBA,I-4,24,3,27
NORMAL,22,IP01,COLCABAMBA,I-4,24,1,25
NORMAL,23,IP01,COLCABAMBA,I-4,24,0,24
NORMAL,24,IP01,COLCABAMBA,I-4,24,1,25
NORMAL,25,IP01,COLCABAMBA,I-4,24,0,24
NORMAL,26,IP01,COLCABAMBA,I-4,24,3,27
NORMAL,27,IP01,COLCABAMBA,I-4,24,1,25
NORMAL,28,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,29,IP01,COLCABAMBA,I-4,24,0,24
NORMAL,30,IP01,COLCABAMBA,I-4,24,5,29
NORMAL,31,IP01,COLCABAMBA,I-4,24,0,24
NORMAL,32,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,33,IP01,COLCABAMBA,I-4,24,3,27
NORMAL,34,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,35,IP01,COLCABAMBA,I-4,24,3,27
NORMAL,36,IP01,COLCABAMBA,I-4,24,1,25
NORMAL,37,IP01,COLCABAMBA,I-4,24,1,25
NORMAL,38,IP01,COLCABAMBA,I-4,24,1,25
NORMAL,39,IP01,COLCABAMBA,I-4,24,3,27
NORMAL,40,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,41,IP01,COLCABAMBA,I-4,24,5,29
NORMAL,42,IP01,COLCABAMBA,I-4,24,0,24
NORMAL,43,IP01,COLCABAMBA,I-4,24,1,25
NORMAL,44,IP01,COLCABAMBA,I-4,24,3,27
NORMAL,45,IP01,COLCABAMBA,I-4,24,1,25
NORMAL,46,IP01,COLCABAMBA,I-4,24,6,30
NORMAL,47,IP01,COLCABAMBA,I-4,24,1,25
NORMAL,48,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,49,IP01,COLCABAMBA,I-4,24,1,25
NORMAL,50,IP01,COLCABAMBA,I-4,24,3,27
NORMAL,51,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,52,IP01,COLCABAMBA,I-4,24,0,24
NORMAL,53,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,54,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,55,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,56,IP01,COLCABAMBA,I-4,24,3,27
NORMAL,57,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,58,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,59,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,60,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,61,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,62,IP01,COLCABAMBA,I-4,24,5,29
NORMAL,63,IP01,COLCABAMBA,I-4,24,0,24
NORMAL,64,IP01,COLCABAMBA,I-4,24,3,27
NORMAL,65,IP01,COLCABAMBA,I-4,24,3,27
NORMAL,66,IP01,COLCABAMBA,I-4,24,6,30
NORMAL,67,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,68,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,69,IP01,COLCABAMBA,I-4,24,3,27
NORMAL,70,IP01,COLCABAMBA,I-4,24,5,29
NORMAL,71,IP01,COLCABAMBA,I-4,24,1,25
NORMAL,72,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,73,IP01,COLCABAMBA,I-4,24,0,24
NORMAL,74,IP01,COLCABAMBA,I-4,24,1,25
NORMAL,75,IP01,COLCABAMBA,I-4,24,1,25
NORMAL,76,IP01,COLCABAMBA,I-4,24,1,25
NORMAL,77,IP01,COLCABAMBA,I-4,24,3,27
NORMAL,78,IP01,COLCABAMBA,I-4,24,3,27
NORMAL,79,IP01,COLCABAMBA,I-4,24,3,27
NORMAL,80,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,81,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,82,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,83,IP01,COLCABAMBA,I-4,24,3,27
NORMAL,84,IP01,COLCABAMBA,I-4,24,1,25
NORMAL,85,IP01,COLCABAMBA,I-4,24,3,27
NORMAL,86,IP01,COLCABAMBA,I-4,24,3,27
NORMAL,87,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,88,IP01,COLCABAMBA,I-4,24,4,28
NORMAL,89,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,90,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,91,IP01,COLCABAMBA,I-4,24,5,29
NORMAL,92,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,93,IP01,COLCABAMBA,I-4,24,1,25
NORMAL,94,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,95,IP01,COLCABAMBA,I-4,24,5,29
NORMAL,96,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,97,IP01,COLCABAMBA,I-4,24,1,25
NORMAL,98,IP01,COLCABAMBA,I-4,24,6,30
NORMAL,99,IP01,COLCABAMBA,I-4,24,5,29
NORMAL,100,IP01,COLCABAMBA,I-4,24,4,28
NORMAL,101,IP01,COLCABAMBA,I-4,24,0,24
NORMAL,102,IP01,COLCABAMBA,I-4,24,2,26
NORMAL,103,IP01,COLCABAMBA,I-4,24,3,27
NORMAL,104,IP01,COLCABAMBA,I-4,24,5,29
NORMAL,105,IP01,COLCABAMBA,I-4,24,2,26
